Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point,,lower_asymptote_std_error,upper_asymptote_std_error,growth_rate_std_error,inflection_point_std_error,lower_asymptote_ratio,upper_asymptote_ratio,growth_rate_ratio,inflection_point_ratio
290,80,-0.005771791,1.433470269,0.2340108015,10.70900011,,0.0046590728,0.0596579366,0.0122408342,0.2007459242,-1.238828184,24.02815704,19.11722658,53.34604006
300,70,-0.005033281,1.472348093,0.2534634483,10.18537878,,0.0045882654,0.0654545342,0.013611068,0.1967764686,-1.09699002,22.49421084,18.62186336,51.76116255
300,75,-0.005391796,1.451596681,0.2432532845,10.45811215,,0.0046267529,0.0623968738,0.012895932,0.1989150014,-1.165351978,23.26393283,18.86279218,52.57578403
300,80,-0.005797282,1.430696811,0.2323602321,10.77321038,,0.0046706589,0.0593778195,0.0121561895,0.2017270252,-1.241212778,24.09480212,19.11456149,53.4048939
310,70,-0.00504884,1.469697141,0.2520383705,10.23557805,,0.004598636,0.065188672,0.0135386509,0.1975475513,-1.097899371,22.54528424,18.61621019,51.81323676
310,75,-0.005412797,1.44894629,0.2417358281,10.51407357,,0.0046378193,0.0621329145,0.0128189032,0.1997890387,-1.167099514,23.32010823,18.85776213,52.62587796
310,80,-0.005823337,1.428027257,0.2307626699,10.83574953,,0.0046823932,0.0591129227,0.0120751816,0.2027054563,-1.243666823,24.15761548,19.11049265,53.45563821
320,75,-0.005433113,1.446347472,0.2402737994,10.56841058,,0.0047103039,0.0626939082,0.012913586,0.2032917983,-1.15345267,23.06998422,18.60628018,51.98640903
320,80,-0.005849013,1.425469556,0.2292170078,10.8967373,,0.0047561975,0.0596414963,0.0121562297,0.2063736982,-1.229766658,23.90063371,18.85592924,52.80099837
330,75,-0.005454214,1.443865543,0.2388515649,10.62145845,,0.0047219223,0.0624545696,0.0128426575,0.2041744408,-1.155083379,23.11865331,18.59829745,52.02148912
330,80,-0.005875137,1.423001492,0.2277181272,10.95624933,,0.0047685065,0.0594052904,0.012081557,0.2073716541,-1.232070661,23.95412063,18.84840895,52.83388118
340,75,-0.005475544,1.441469345,0.2374702489,10.67324112,,0.004733518,0.0622262482,0.0127742649,0.2050506886,-1.156759968,23.16497275,18.58973895,52.05172042
340,80,-0.005901383,1.420621019,0.2262633025,11.01440514,,0.0047807828,0.0591802112,0.0120095678,0.2083625008,-1.23439686,24.00500084,18.84025352,52.86174384
350,75,-0.00549706,1.439153938,0.2361277653,10.72382412,,0.0047450794,0.0620081611,0.0127082442,0.2059203686,-1.158475943,23.20910527,18.58067576,52.07752973
350,80,-0.005927707,1.418322911,0.2248503064,11.07127251,,0.0047930148,0.0589654495,0.0119400914,0.209346007,-1.236738763,24.05345711,18.83153984,52.88504264
360,75,-0.005518727,1.436914313,0.2348219251,10.77327785,,0.0047566002,0.0617995724,0.0126444376,0.2067835705,-1.160225063,23.25120154,18.57116408,52.09929313
360,80,-0.005954077,1.416102068,0.2234767763,11.12692578,,0.0048051963,0.058760269,0.0118729619,0.2103223061,-1.239091345,24.09965257,18.82232743,52.90416402
370,80,-0.005980466,1.413953814,0.2221405476,11.18143286,,0.0048874699,0.0594167811,0.0119799717,0.2143682483,-1.223632327,23.7972133,18.54266045,52.15993017
