Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point
310,75,-0.000281183,1.875672602,6.416161808,0.6814493109
310,80,-0.000505282,1.903417395,6.343033809,0.6836966306
320,75,-0.000205257,1.87612392,6.571961704,0.6667784665
320,80,-0.000435205,1.890535846,6.516208817,0.6681357086
330,75,-0.000392324,1.881732286,6.687596807,0.6534383062
330,80,-0.000202039,1.869773871,6.725516193,0.652538167
340,75,-0.000226179,1.858034457,6.888375769,0.6385690748
340,80,-0.000301317,1.878764957,6.841056328,0.6401265331
350,75,-0.00030091,1.872879596,6.986860476,0.6273940152
350,80,-0.00019732,1.861517136,7.029424502,0.6263143317
360,75,-0.000381832,1.877377872,7.114825617,0.6157957838
360,80,-0.000187922,1.871035883,7.14883047,0.6151744889
370,80,-0.000448061,1.889604381,7.225347247,0.6054215277
